setup,n_samples,n_features,n_classes,train_accuracy,test_accuracy,test_precision_w,test_recall_w,test_f1_w,hss_empirical,hss_kappa
5class,61378,11,5,0.9838906765508533,0.9729553600521342,0.9638311035441227,0.9729553600521342,0.9660054479036427,0.3358044637774603,0.3358044637774594
9class,61378,11,9,0.9826687303979471,0.9722222222222222,0.9599885543882105,0.9722222222222222,0.963875838928663,0.2974244252877909,0.29742442528779034
13class,61378,11,13,0.9825261700134414,0.9718963831867058,0.9596706419422882,0.9718963831867058,0.9636607071864103,0.28797849016578897,0.28797849016578736
13to7,61378,11,7,0.9826076330903019,0.9726295210166178,0.9617833119588322,0.9726295210166178,0.965075237577078,0.31466761661199216,0.3146676166119917
13to5,61378,11,5,0.9837481161663476,0.973525578364288,0.9642955693739124,0.973525578364288,0.9666838106662496,0.3547121363028094,0.35471213630280796
5class_bal,50,11,5,0.825,0.5,0.5,0.5,0.5,0.375,0.375
9class_bal,54,11,9,0.8372093023255814,0.2727272727272727,0.20454545454545456,0.2727272727272727,0.21818181818181817,0.2,0.19999999999999996
13class_bal,78,11,13,0.8064516129032258,0.1875,0.14583333333333334,0.1875,0.15625,0.11864406779661017,0.11864406779661019
13to7_bal13,78,11,7,0.8548387096774194,0.3125,0.2625,0.3125,0.28125,0.17370892018779344,0.17370892018779338
13to5_bal13,78,11,5,0.8870967741935484,0.3125,0.26041666666666663,0.3125,0.27281746031746035,0.01675977653631285,0.016759776536312887
